freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CONT_IMP_EU,TOTAL,EU27_2020,BE	8.9 	8.5 	7.8 	7.9 	7.7 	7.8 	7.6 	7.6 	8.3 	8.2 	7.9 	7.5 
A,CONT_IMP_EU,TOTAL,EU27_2020,BG	0.6 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 
A,CONT_IMP_EU,TOTAL,EU27_2020,CY	0.1 	0.1 	0.1 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 	0.2 
A,CONT_IMP_EU,TOTAL,EU27_2020,CZ	3.5 	3.6 	3.8 	3.8 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 	3.9 
A,CONT_IMP_EU,TOTAL,EU27_2020,DE	22.9 	23.1 	23.2 	23.0 	22.9 	23.0 	23.1 	23.2 	22.4 	22.3 	22.1 	22.0 
A,CONT_IMP_EU,TOTAL,EU27_2020,DK	2.0 	2.0 	2.0 	2.0 	1.9 	1.9 	1.9 	2.1 	2.1 	2.0 	1.9 	1.9 
A,CONT_IMP_EU,TOTAL,EU27_2020,EE	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.4 	0.4 
A,CONT_IMP_EU,TOTAL,EU27_2020,EL	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	0.9 	1.0 	1.0 	1.0 	1.1 	1.1 
A,CONT_IMP_EU,TOTAL,EU27_2020,ES	5.6 	6.0 	6.3 	6.3 	6.2 	6.1 	6.0 	5.8 	5.7 	5.8 	6.0 	6.2 
A,CONT_IMP_EU,TOTAL,EU27_2020,EU27_2020	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
A,CONT_IMP_EU,TOTAL,EU27_2020,FI	1.6 	1.6 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.5 	1.4 	1.3 
A,CONT_IMP_EU,TOTAL,EU27_2020,FR	13.9 	13.5 	13.2 	13.0 	12.8 	12.5 	12.4 	12.0 	11.8 	11.7 	11.8 	11.3 
A,CONT_IMP_EU,TOTAL,EU27_2020,HR	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.7 	0.6 	0.6 	0.7 	0.8 	0.8 
A,CONT_IMP_EU,TOTAL,EU27_2020,HU	2.3 	2.4 	2.5 	2.5 	2.5 	2.5 	2.6 	2.6 	2.6 	2.6 	2.5 	2.5 
A,CONT_IMP_EU,TOTAL,EU27_2020,IE	0.8 	0.9 	1.0 	1.1 	1.1 	1.2 	1.1 	1.2 	1.1 	1.2 	1.4 	1.4 
A,CONT_IMP_EU,TOTAL,EU27_2020,IT	8.2 	8.1 	8.2 	8.2 	8.2 	8.1 	8.0 	7.8 	8.1 	8.2 	8.4 	8.4 
A,CONT_IMP_EU,TOTAL,EU27_2020,LT	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.7 	0.8 	0.8 	0.8 	0.7 
A,CONT_IMP_EU,TOTAL,EU27_2020,LU	0.7 	0.7 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.5 
A,CONT_IMP_EU,TOTAL,EU27_2020,LV	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.4 	0.5 	0.5 	0.5 
A,CONT_IMP_EU,TOTAL,EU27_2020,MT	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 	0.1 
A,CONT_IMP_EU,TOTAL,EU27_2020,NL	7.6 	7.4 	7.5 	7.3 	7.4 	7.4 	7.6 	7.8 	7.8 	8.0 	8.0 	8.1 
A,CONT_IMP_EU,TOTAL,EU27_2020,PL	4.4 	4.7 	4.8 	4.9 	5.1 	5.2 	5.2 	5.5 	5.7 	5.6 	5.8 	6.0 
A,CONT_IMP_EU,TOTAL,EU27_2020,PT	1.7 	1.8 	1.8 	1.8 	1.8 	1.9 	2.0 	1.8 	1.8 	1.8 	2.0 	2.0 
A,CONT_IMP_EU,TOTAL,EU27_2020,RO	1.7 	1.8 	1.9 	2.0 	2.0 	2.0 	2.1 	2.1 	2.1 	2.2 	2.2 	2.3 
A,CONT_IMP_EU,TOTAL,EU27_2020,SE	3.3 	3.2 	3.2 	3.3 	3.2 	3.2 	3.1 	3.2 	3.1 	3.0 	3.0 	3.0 
A,CONT_IMP_EU,TOTAL,EU27_2020,SI	0.7 	0.7 	0.7 	0.7 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 	0.8 
A,CONT_IMP_EU,TOTAL,EU27_2020,SK	1.9 	1.9 	2.0 	2.1 	2.0 	2.1 	2.1 	2.1 	2.0 	2.0 	2.1 	2.1 
A,MIO_BAL_VAL,TOTAL,EU27_2020,AT	-15026.3 	-13226.2 	-13386.9 	-15712.8 	-15895.0 	-16923.6 	-17411.3 	-14248.0 	-23313.6 	-26368.7 	-14398.5 	-18735.6 
A,MIO_BAL_VAL,TOTAL,EU27_2020,BE	13079.0 	16019.2 	29640.6 	24856.4 	27295.4 	26998.4 	30635.6 	26558.8 	31290.9 	67370.2 	35828.0 	35677.9 
A,MIO_BAL_VAL,TOTAL,EU27_2020,BG	-2159.6 	-2392.3 	-2204.7 	-1438.7 	-1842.6 	-1333.0 	-1467.7 	-376.7 	-543.2 	496.6 	-1550.2 	-938.4 
A,MIO_BAL_VAL,TOTAL,EU27_2020,CY	-2367.3 	-2476.5 	-2305.7 	-3315.9 	-3502.2 	-3589.7 	-3576.3 	-3512.9 	-4773.5 	-5930.4 	-6461.9 	-6069.9 
A,MIO_BAL_VAL,TOTAL,EU27_2020,CZ	12386.1 	14692.9 	15821.1 	17067.2 	18526.4 	20338.0 	22965.3 	24594.6 	21859.7 	25624.2 	36356.3 	38756.0 
A,MIO_BAL_VAL,TOTAL,EU27_2020,DE	12741.2 	14508.9 	22545.3 	26752.6 	23833.7 	14836.2 	3286.6 	-11003.5 	-13663.2 	-38459.2 	-24230.6 	-16399.5 
A,MIO_BAL_VAL,TOTAL,EU27_2020,DK	-1471.5 	-1644.3 	-2771.2 	-4397.7 	-5468.9 	-7248.6 	-6282.2 	-10130.5 	-12823.5 	-12575.0 	-9666.6 	-7820.9 
A,MIO_BAL_VAL,TOTAL,EU27_2020,EE	-2400.1 	-2380.8 	-1965.3 	-2203.4 	-2635.8 	-2504.8 	-2345.5 	-1931.8 	-2155.8 	-4631.6 	-4558.9 	-4726.2 
A,MIO_BAL_VAL,TOTAL,EU27_2020,EL	-9175.0 	-9934.1 	-8923.9 	-9668.1 	-10625.0 	-10608.3 	-10822.1 	-10271.0 	-12236.8 	-10107.8 	-13071.3 	-15951.3 
A,MIO_BAL_VAL,TOTAL,EU27_2020,ES	2819.1 	-4151.3 	-10013.3 	-7190.5 	-5341.0 	-6116.5 	-3565.7 	3327.6 	5442.0 	12963.3 	5372.6 	1551.2 
A,MIO_BAL_VAL,TOTAL,EU27_2020,EU27_2020	57446.2 	58553.9 	60422.8 	49339.4 	47944.6 	55423.0 	60411.1 	63424.0 	60153.5 	126334.3 	104119.6 	106372.6 
A,MIO_BAL_VAL,TOTAL,EU27_2020,FI	-8792.0 	-8492.7 	-8978.9 	-10266.0 	-9846.9 	-9952.3 	-9482.0 	-11417.2 	-11743.2 	-14876.4 	-10896.6 	-10788.2 
A,MIO_BAL_VAL,TOTAL,EU27_2020,FR	-94136.5 	-92616.3 	-95873.8 	-98337.6 	-110385.7 	-111286.7 	-110536.9 	-107444.3 	-129069.9 	-151877.7 	-137809.8 	-122265.0 
A,MIO_BAL_VAL,TOTAL,EU27_2020,HR	-5191.5 	-6386.8 	-6736.2 	-7003.6 	-7938.4 	-8478.6 	-9649.5 	-7978.2 	-9230.1 	-12978.9 	-14887.1 	-17033.7 
A,MIO_BAL_VAL,TOTAL,EU27_2020,HU	7143.5 	5507.0 	6705.1 	7064.7 	7799.2 	7906.6 	9292.3 	11040.9 	7551.3 	5507.9 	17288.9 	13881.0 
A,MIO_BAL_VAL,TOTAL,EU27_2020,IE	18530.0 	15747.7 	19612.2 	16986.8 	14402.4 	19416.1 	21650.6 	30901.4 	22763.9 	31733.7 	26455.5 	33233.9 
A,MIO_BAL_VAL,TOTAL,EU27_2020,IT	-260.5 	4276.8 	-2890.7 	-1086.4 	-2912.5 	-171.1 	3776.7 	6906.1 	2385.3 	-8193.5 	-11592.9 	-10312.1 
A,MIO_BAL_VAL,TOTAL,EU27_2020,LT	-2785.3 	-3450.3 	-3424.6 	-4142.2 	-4727.4 	-4905.9 	-4902.9 	-4595.0 	-5966.4 	-5667.4 	-7330.2 	-3826.3 
A,MIO_BAL_VAL,TOTAL,EU27_2020,LU	-4779.5 	-4404.6 	-2705.0 	-3812.6 	-5354.2 	-6486.9 	-6351.6 	-6729.4 	-8174.0 	-10044.7 	-9422.3 	-9217.7 
A,MIO_BAL_VAL,TOTAL,EU27_2020,LV	-3612.6 	-3430.2 	-3061.7 	-2977.4 	-3678.2 	-3623.3 	-3982.6 	-3434.2 	-3915.5 	-6917.3 	-7173.0 	-4887.1 
A,MIO_BAL_VAL,TOTAL,EU27_2020,MT	-1844.5 	-1822.9 	-2262.0 	-1762.7 	-1551.2 	-2181.5 	-1988.1 	-1780.2 	-2357.5 	-3271.0 	-3161.5 	-3268.4 
A,MIO_BAL_VAL,TOTAL,EU27_2020,NL	163722.7 	163495.3 	153600.7 	154529.6 	175561.4 	186738.4 	184547.5 	171317.7 	229271.3 	323957.8 	284317.8 	270321.3 
A,MIO_BAL_VAL,TOTAL,EU27_2020,PL	2232.8 	5017.4 	10184.0 	9168.8 	9883.2 	12397.5 	18590.5 	22193.5 	24007.2 	27572.2 	32388.1 	23566.5 
A,MIO_BAL_VAL,TOTAL,EU27_2020,PT	-8727.5 	-11223.8 	-11577.1 	-11963.4 	-14188.0 	-15008.3 	-16623.1 	-12518.0 	-15723.4 	-20875.6 	-24151.3 	-23644.5 
A,MIO_BAL_VAL,TOTAL,EU27_2020,RO	-8185.4 	-7634.7 	-9150.4 	-9823.7 	-10667.3 	-11027.8 	-12489.7 	-13458.9 	-17169.4 	-22879.8 	-21925.6 	-24161.1 
A,MIO_BAL_VAL,TOTAL,EU27_2020,SE	-11500.0 	-12867.4 	-15664.3 	-17158.7 	-18969.1 	-18319.6 	-17805.7 	-17875.3 	-19069.4 	-20965.8 	-19701.0 	-18621.6 
A,MIO_BAL_VAL,TOTAL,EU27_2020,SI	1509.6 	2554.3 	2862.7 	2638.0 	3417.2 	4299.8 	4462.2 	4764.9 	5538.9 	7359.8 	7435.1 	8222.4 
A,MIO_BAL_VAL,TOTAL,EU27_2020,SK	5697.7 	5269.5 	3346.6 	2536.6 	2755.0 	2258.5 	487.0 	523.3 	1971.2 	369.6 	666.5 	-170.4 
A,MIO_EXP_VAL,TOTAL,EU27_2020,AT	88662.4 	89661.7 	92176.5 	92833.4 	101850.3 	107352.5 	108308.3 	101817.9 	118539.2 	140260.3 	143795.2 	134624.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,BE	221032.1 	221138.6 	225000.2 	227166.9 	243632.5 	258038.0 	260380.9 	240220.6 	312615.7 	405283.1 	351072.1 	331398.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,BG	12881.5 	13275.7 	14266.8 	15339.7 	17013.0 	18579.3 	19115.7 	18327.7 	23146.8 	30976.3 	28149.9 	27523.0 
A,MIO_EXP_VAL,TOTAL,EU27_2020,CY	672.2 	1026.6 	1181.2 	980.7 	943.5 	1082.6 	1250.6 	914.4 	931.3 	1106.3 	1045.9 	1231.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,CZ	93210.2 	101692.0 	111003.9 	115231.3 	127238.0 	136544.4 	141294.5 	133625.7 	154106.7 	187826.5 	192610.6 	192667.6 
A,MIO_EXP_VAL,TOTAL,EU27_2020,DE	547376.4 	569476.2 	603811.7 	619851.1 	664505.1 	696617.3 	698459.9 	636037.7 	743475.8 	879217.0 	859911.5 	846625.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,DK	46034.8 	46886.6 	47357.0 	47520.7 	48653.3 	50429.3 	52205.1 	49204.2 	56433.2 	68980.7 	66541.7 	67324.4 
A,MIO_EXP_VAL,TOTAL,EU27_2020,EE	8424.8 	8444.3 	8372.9 	8509.9 	8961.9 	9490.5 	9865.4 	9448.5 	12248.3 	15292.2 	13436.0 	12658.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,EL	11855.4 	12123.4 	12928.9 	13257.1 	14376.5 	16480.9 	17743.7 	17704.1 	21497.9 	31170.9 	29138.5 	27426.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,ES	134101.1 	138840.7 	146966.5 	154392.3 	168181.2 	175616.0 	178369.1 	165140.2 	199565.6 	250075.5 	246526.2 	244649.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,EU27_2020	2388172.4 	2459418.2 	2568467.5 	2624142.2 	2845009.4 	3015132.1 	3072253.0 	2856802.8 	3437191.4 	4244831.9 	4113581.7 	4025067.7 
A,MIO_EXP_VAL,TOTAL,EU27_2020,FI	28062.7 	29043.1 	29015.6 	28183.1 	33167.2 	35036.9 	35918.8 	31380.1 	39031.2 	46093.4 	43234.5 	41884.7 
A,MIO_EXP_VAL,TOTAL,EU27_2020,FR	229510.5 	232326.1 	236392.0 	237473.8 	247017.2 	257994.0 	262092.3 	228831.9 	270418.5 	329953.9 	333655.2 	318783.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,HR	5693.9 	6466.4 	7482.8 	8009.5 	8881.2 	9782.7 	10154.9 	10115.7 	12489.0 	16591.9 	15553.3 	15665.0 
A,MIO_EXP_VAL,TOTAL,EU27_2020,HU	59802.0 	63506.5 	68646.5 	71295.7 	78332.3 	82391.8 	86778.7 	82653.4 	93709.3 	113076.1 	117749.6 	112237.7 
A,MIO_EXP_VAL,TOTAL,EU27_2020,IE	36302.3 	36508.7 	43638.9 	44452.4 	46122.9 	54133.5 	56048.0 	63947.5 	61448.5 	80309.0 	81092.3 	87946.8 
A,MIO_EXP_VAL,TOTAL,EU27_2020,IT	190233.6 	197884.5 	203617.5 	210996.3 	227102.1 	239282.7 	245447.2 	224792.8 	274601.8 	330452.4 	324124.1 	318110.9 
A,MIO_EXP_VAL,TOTAL,EU27_2020,LT	12402.5 	12440.1 	13024.3 	12758.6 	14479.1 	15550.5 	16302.1 	16029.5 	19861.3 	27576.4 	24245.0 	24525.6 
A,MIO_EXP_VAL,TOTAL,EU27_2020,LU	10844.1 	11425.4 	12246.8 	11263.4 	11223.3 	11243.2 	11722.4 	9735.8 	11477.6 	13267.4 	12638.5 	12064.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,LV	6867.0 	7131.3 	7164.6 	7200.0 	7725.3 	8412.5 	8714.4 	8821.5 	11234.7 	15040.8 	13348.0 	13182.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,MT	1135.9 	1004.8 	952.7 	1115.6 	1346.4 	1438.4 	1568.7 	1254.6 	1247.9 	1482.4 	1705.0 	1735.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,NL	340297.3 	340155.3 	341881.4 	342734.9 	383374.9 	406550.6 	413651.3 	388401.2 	493620.6 	654400.0 	604352.7 	588353.9 
A,MIO_EXP_VAL,TOTAL,EU27_2020,PL	105719.6 	117728.4 	130353.0 	134559.5 	152523.1 	165933.9 	176149.1 	177077.0 	216200.7 	258986.8 	263436.5 	259669.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,PT	30662.3 	31100.9 	32715.3 	34051.3 	37142.1 	40380.1 	42367.4 	38369.9 	45509.7 	55291.0 	54244.6 	56361.3 
A,MIO_EXP_VAL,TOTAL,EU27_2020,RO	32475.8 	35160.7 	37876.9 	40590.4 	44915.1 	49095.9 	50255.4 	45771.2 	54091.0 	66453.7 	67571.7 	66721.2 
A,MIO_EXP_VAL,TOTAL,EU27_2020,SE	64539.2 	63576.0 	64797.6 	66857.2 	71596.2 	75667.1 	75251.4 	71017.3 	86078.3 	101407.2 	100547.1 	97966.1 
A,MIO_EXP_VAL,TOTAL,EU27_2020,SI	18725.1 	19903.4 	21323.3 	21838.0 	25177.6 	27935.2 	28905.3 	26432.0 	32865.5 	41772.1 	39746.2 	40563.0 
A,MIO_EXP_VAL,TOTAL,EU27_2020,SK	50647.8 	51490.5 	54272.9 	55679.5 	59528.1 	64072.4 	63932.4 	59730.6 	70745.3 	82488.7 	84109.5 	83170.6 
A,MIO_IMP_VAL,TOTAL,EU27_2020,AT	103688.7 	102887.9 	105563.4 	108546.2 	117745.3 	124276.1 	125719.6 	116065.9 	141852.8 	166629.0 	158193.6 	153359.6 
A,MIO_IMP_VAL,TOTAL,EU27_2020,BE	207953.1 	205119.4 	195359.6 	202310.5 	216337.1 	231039.5 	229745.3 	213661.8 	281324.8 	337912.9 	315244.1 	295720.3 
A,MIO_IMP_VAL,TOTAL,EU27_2020,BG	15041.1 	15668.0 	16471.4 	16778.4 	18855.5 	19912.4 	20583.5 	18704.4 	23690.0 	30479.8 	29700.1 	28461.4 
A,MIO_IMP_VAL,TOTAL,EU27_2020,CY	3039.5 	3503.2 	3486.9 	4296.5 	4445.7 	4672.3 	4826.9 	4427.2 	5704.9 	7036.8 	7507.8 	7301.1 
A,MIO_IMP_VAL,TOTAL,EU27_2020,CZ	80824.0 	86999.1 	95182.8 	98164.1 	108711.6 	116206.5 	118329.2 	109031.1 	132247.0 	162202.4 	156254.3 	153911.7 
A,MIO_IMP_VAL,TOTAL,EU27_2020,DE	534635.2 	554967.3 	581266.4 	593098.5 	640671.4 	681781.1 	695173.4 	647041.3 	757138.9 	917676.2 	884142.1 	863024.6 
A,MIO_IMP_VAL,TOTAL,EU27_2020,DK	47506.3 	48530.9 	50128.3 	51918.4 	54122.1 	57677.9 	58487.3 	59334.6 	69256.7 	81555.7 	76208.4 	75145.4 
A,MIO_IMP_VAL,TOTAL,EU27_2020,EE	10824.9 	10825.1 	10338.2 	10713.3 	11597.6 	11995.3 	12210.8 	11380.3 	14404.0 	19923.8 	17994.9 	17384.2 
A,MIO_IMP_VAL,TOTAL,EU27_2020,EL	21030.4 	22057.4 	21852.8 	22925.1 	25001.5 	27089.2 	28565.8 	27975.0 	33734.7 	41278.8 	42209.9 	43377.5 
A,MIO_IMP_VAL,TOTAL,EU27_2020,ES	131282.1 	142992.0 	156979.8 	161582.8 	173522.2 	181732.5 	181934.9 	161812.6 	194123.5 	237112.2 	241153.6 	243097.9 
A,MIO_IMP_VAL,TOTAL,EU27_2020,EU27_2020	2330726.1 	2400864.2 	2508044.7 	2574802.8 	2797064.8 	2959709.1 	3011841.9 	2793378.8 	3377037.9 	4118497.5 	4009462.0 	3918695.1 
A,MIO_IMP_VAL,TOTAL,EU27_2020,FI	36854.8 	37535.8 	37994.5 	38449.1 	43014.1 	44989.2 	45400.8 	42797.3 	50774.4 	60969.8 	54131.1 	52672.9 
A,MIO_IMP_VAL,TOTAL,EU27_2020,FR	323647.0 	324942.4 	332265.7 	335811.3 	357402.9 	369280.6 	372629.2 	336276.2 	399488.4 	481831.6 	471465.0 	441048.2 
A,MIO_IMP_VAL,TOTAL,EU27_2020,HR	10885.4 	12853.2 	14219.0 	15013.0 	16819.6 	18261.4 	19804.3 	18093.8 	21719.1 	29570.8 	30440.4 	32698.7 
A,MIO_IMP_VAL,TOTAL,EU27_2020,HU	52658.6 	57999.5 	61941.4 	64231.0 	70533.1 	74485.2 	77486.5 	71612.4 	86158.0 	107568.3 	100460.7 	98356.7 
A,MIO_IMP_VAL,TOTAL,EU27_2020,IE	17772.4 	20761.0 	24026.7 	27465.6 	31720.5 	34717.4 	34397.4 	33046.1 	38684.6 	48575.3 	54636.8 	54712.9 
A,MIO_IMP_VAL,TOTAL,EU27_2020,IT	190494.1 	193607.7 	206508.2 	212082.7 	230014.6 	239453.8 	241670.5 	217886.7 	272216.5 	338645.9 	335717.0 	328423.0 
A,MIO_IMP_VAL,TOTAL,EU27_2020,LT	15187.8 	15890.4 	16448.9 	16900.8 	19206.5 	20456.4 	21205.0 	20624.5 	25827.7 	33243.8 	31575.2 	28351.9 
A,MIO_IMP_VAL,TOTAL,EU27_2020,LU	15623.6 	15830.1 	14951.9 	15076.0 	16577.5 	17730.1 	18074.0 	16465.2 	19651.6 	23312.2 	22060.8 	21281.8 
A,MIO_IMP_VAL,TOTAL,EU27_2020,LV	10479.6 	10561.5 	10226.3 	10177.4 	11403.5 	12035.9 	12697.0 	12255.7 	15150.3 	21958.1 	20521.0 	18069.2 
A,MIO_IMP_VAL,TOTAL,EU27_2020,MT	2980.4 	2827.7 	3214.7 	2878.3 	2897.6 	3620.0 	3556.8 	3034.9 	3605.4 	4753.4 	4866.5 	5003.7 
A,MIO_IMP_VAL,TOTAL,EU27_2020,NL	176574.6 	176660.0 	188280.7 	188205.2 	207813.5 	219812.2 	229103.8 	217083.5 	264349.2 	330442.2 	320035.0 	318032.5 
A,MIO_IMP_VAL,TOTAL,EU27_2020,PL	103486.8 	112711.0 	120169.0 	125390.8 	142639.9 	153536.4 	157558.6 	154883.4 	192193.5 	231414.5 	231048.4 	236102.6 
A,MIO_IMP_VAL,TOTAL,EU27_2020,PT	39389.8 	42324.7 	44292.4 	46014.7 	51330.2 	55388.4 	58990.5 	50887.9 	61233.2 	76166.5 	78396.0 	80005.8 
A,MIO_IMP_VAL,TOTAL,EU27_2020,RO	40661.2 	42795.5 	47027.2 	50414.2 	55582.5 	60123.7 	62745.2 	59230.1 	71260.4 	89333.4 	89497.2 	90882.3 
A,MIO_IMP_VAL,TOTAL,EU27_2020,SE	76039.2 	76443.5 	80461.8 	84015.9 	90565.2 	93986.8 	93057.1 	88892.6 	105147.7 	122373.0 	120248.0 	116587.6 
A,MIO_IMP_VAL,TOTAL,EU27_2020,SI	17215.4 	17349.1 	18460.6 	19200.1 	21760.4 	23635.4 	24443.2 	21667.1 	27326.6 	34412.3 	32311.1 	32340.6 
A,MIO_IMP_VAL,TOTAL,EU27_2020,SK	44950.1 	46221.0 	50926.3 	53142.8 	56773.1 	61813.9 	63445.4 	59207.2 	68774.1 	82119.1 	83443.0 	83341.0 
