freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,CONT_EXP_EU,TOTAL,EU27_2020,AT	3.7 	3.6 	3.6 	3.5 	3.6 	3.6 	3.5 	3.6 	3.4 	3.3 	3.5 	3.3 
A,CONT_EXP_EU,TOTAL,EU27_2020,BE	9.3 	9.0 	8.8 	8.7 	8.6 	8.6 	8.5 	8.4 	9.1 	9.5 	8.5 	8.2 
A,CONT_EXP_EU,TOTAL,EU27_2020,BG	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 	0.7 
A,CONT_EXP_EU,TOTAL,EU27_2020,CY	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 
A,CONT_EXP_EU,TOTAL,EU27_2020,CZ	3.9 	4.1 	4.3 	4.4 	4.5 	4.5 	4.6 	4.7 	4.5 	4.4 	4.7 	4.8 
A,CONT_EXP_EU,TOTAL,EU27_2020,DE	22.9 	23.2 	23.5 	23.6 	23.4 	23.1 	22.7 	22.3 	21.6 	20.7 	20.9 	21.0 
A,CONT_EXP_EU,TOTAL,EU27_2020,DK	1.9 	1.9 	1.8 	1.8 	1.7 	1.7 	1.7 	1.7 	1.6 	1.6 	1.6 	1.7 
A,CONT_EXP_EU,TOTAL,EU27_2020,EE	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	0.3 	0.3 
A,CONT_EXP_EU,TOTAL,EU27_2020,EL	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.7 	0.7 	0.7 
A,CONT_EXP_EU,TOTAL,EU27_2020,ES	5.6 	5.6 	5.7 	5.9 	5.9 	5.8 	5.8 	5.8 	5.8 	5.9 	6.0 	6.1 
A,CONT_EXP_EU,TOTAL,EU27_2020,EU27_2020	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 	100.0 
A,CONT_EXP_EU,TOTAL,EU27_2020,FI	1.2 	1.2 	1.1 	1.1 	1.2 	1.2 	1.2 	1.1 	1.1 	1.1 	1.1 	1.0 
A,CONT_EXP_EU,TOTAL,EU27_2020,FR	9.6 	9.4 	9.2 	9.0 	8.7 	8.6 	8.5 	8.0 	7.9 	7.8 	8.1 	7.9 
A,CONT_EXP_EU,TOTAL,EU27_2020,HR	0.2 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.4 	0.4 	0.4 	0.4 
A,CONT_EXP_EU,TOTAL,EU27_2020,HU	2.5 	2.6 	2.7 	2.7 	2.8 	2.7 	2.8 	2.9 	2.7 	2.7 	2.9 	2.8 
A,CONT_EXP_EU,TOTAL,EU27_2020,IE	1.5 	1.5 	1.7 	1.7 	1.6 	1.8 	1.8 	2.2 	1.8 	1.9 	2.0 	2.2 
A,CONT_EXP_EU,TOTAL,EU27_2020,IT	8.0 	8.0 	7.9 	8.0 	8.0 	7.9 	8.0 	7.9 	8.0 	7.8 	7.9 	7.9 
A,CONT_EXP_EU,TOTAL,EU27_2020,LT	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.5 	0.6 	0.6 	0.6 	0.6 	0.6 
A,CONT_EXP_EU,TOTAL,EU27_2020,LU	0.5 	0.5 	0.5 	0.4 	0.4 	0.4 	0.4 	0.3 	0.3 	0.3 	0.3 	0.3 
A,CONT_EXP_EU,TOTAL,EU27_2020,LV	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.3 	0.4 	0.3 	0.3 
A,CONT_EXP_EU,TOTAL,EU27_2020,MT	0.0 	0.0 	0.0 	0.0 	0.0 	0.0 	0.1 	0.0 	0.0 	0.0 	0.0 	0.0 
A,CONT_EXP_EU,TOTAL,EU27_2020,NL	14.2 	13.8 	13.3 	13.1 	13.5 	13.5 	13.5 	13.6 	14.4 	15.4 	14.7 	14.6 
A,CONT_EXP_EU,TOTAL,EU27_2020,PL	4.4 	4.8 	5.1 	5.1 	5.4 	5.5 	5.7 	6.2 	6.3 	6.1 	6.4 	6.5 
A,CONT_EXP_EU,TOTAL,EU27_2020,PT	1.3 	1.3 	1.3 	1.3 	1.3 	1.3 	1.4 	1.3 	1.3 	1.3 	1.3 	1.4 
A,CONT_EXP_EU,TOTAL,EU27_2020,RO	1.4 	1.4 	1.5 	1.5 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.6 	1.7 
A,CONT_EXP_EU,TOTAL,EU27_2020,SE	2.7 	2.6 	2.5 	2.5 	2.5 	2.5 	2.4 	2.5 	2.5 	2.4 	2.4 	2.4 
A,CONT_EXP_EU,TOTAL,EU27_2020,SI	0.8 	0.8 	0.8 	0.8 	0.9 	0.9 	0.9 	0.9 	1.0 	1.0 	1.0 	1.0 
A,CONT_EXP_EU,TOTAL,EU27_2020,SK	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	2.1 	1.9 	2.0 	2.1 
A,CONT_IMP_EU,TOTAL,EU27_2020,AT	4.4 	4.3 	4.2 	4.2 	4.2 	4.2 	4.2 	4.2 	4.2 	4.0 	3.9 	3.9 
