freq,indic_et,sitc06,partner,geo\TIME_PERIOD	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,FR	190241.9 	184288.7 	182347.4 	177288.3 	191223.5 	203295.4 	212053.3 	172223.2 	205766.2 	301022.3 	257538.6 	252795.0 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,HR	5695.9 	4301.3 	4344.6 	4778.2 	5156.6 	5625.4 	5349.5 	5383.8 	7511.2 	12929.7 	9740.9 	9686.2 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,HU	22720.9 	20978.8 	21006.0 	20598.0 	24624.3 	27775.4 	30240.3 	29804.0 	34767.4 	49618.0 	44239.6 	39172.7 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,IE	37521.4 	41071.1 	45424.2 	45913.4 	50873.4 	56692.5 	55930.8 	54154.6 	63241.0 	91600.9 	85085.8 	77152.9 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,IT	170508.1 	163331.2 	163976.2 	155543.0 	171472.6 	186591.9 	182565.7 	155541.7 	208220.8 	321564.2 	256221.8 	240322.6 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,LT	11019.9 	9999.1 	8950.6 	7836.5 	9309.6 	10486.2 	10744.1 	8502.6 	11863.0 	19298.5 	13272.2 	12996.3 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,LU	4454.2 	4268.1 	6064.3 	4686.0 	3696.6 	2732.9 	3583.6 	2039.2 	2495.0 	2348.2 	2261.3 	1915.0 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,LV	2971.8 	2978.7 	3049.2 	2864.8 	3634.4 	4660.3 	4244.4 	3847.1 	5544.5 	6163.2 	4796.9 	3841.1 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,MT	1647.9 	2304.4 	2228.0 	2932.8 	2413.8 	2114.3 	3037.4 	1987.1 	2432.5 	3379.4 	2893.9 	3053.6 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,NL	267440.9 	267028.6 	273516.4 	264558.2 	300559.1 	327014.5 	338786.4 	303680.3 	377127.5 	523477.4 	459200.7 	434424.4 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,PL	52831.9 	55655.3 	57013.1 	54894.6 	64180.6 	74259.9 	79432.3 	73768.1 	97430.8 	131126.4 	111254.0 	114402.0 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,PT	17623.0 	16707.4 	16052.4 	15409.3 	18358.4 	20050.8 	20986.6 	17257.7 	21912.6 	33395.0 	26752.4 	27358.4 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,RO	14666.9 	15760.1 	15951.9 	16949.0 	19985.1 	22705.1 	23509.4 	21251.5 	27074.5 	36743.5 	32534.9 	35200.2 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,SE	44892.1 	45689.0 	44345.2 	43446.6 	45910.4 	50502.3 	48949.2 	42286.5 	53221.4 	70694.6 	58443.3 	57796.3 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,SI	7913.2 	8202.0 	8426.7 	8397.4 	10156.8 	12167.9 	14875.6 	15246.5 	21454.7 	31943.3 	33970.0 	45590.5 
A,MIO_IMP_VAL,TOTAL,EXT_EU27_2020,SK	16696.2 	15183.7 	14769.4 	14331.6 	15418.8 	16913.6 	16962.0 	14493.0 	19130.6 	24773.3 	21590.9 	21053.4 
